trimestre_origem,quartil,periodo,peso_ocupados_origem,n_ocupados_origem,pct_mesmo_grupo,pct_outro_grupo,pct_desocupado,pct_fora_da_forca,pct_informalizou
2025T2,Q3,pos,20018542.664760638,37889,72.68233716033176,19.90792672980198,1.6342309431593451,5.775505166706922,9.876557285243024
2025T3,Q3,pos,19876182.84639943,39231,73.6729500076673,19.677454722952607,1.4722325376984073,5.177362731681695,9.713615253497217
2019T1,Q4,pre,17589688.511479132,38938,69.80399980382329,23.99409280584957,2.6477187833089753,3.5541886070181787,6.313330482841935
2019T2,Q4,pre,17885159.93051195,39099,70.58372561157998,23.65886142602024,2.232313528934266,3.525099433465505,6.471403424347052
2019T3,Q4,pre,18063195.61192058,39158,70.60701226212893,23.534914266331484,2.355125185761478,3.50294828577812,6.121709377868408
2019T4,Q4,pre,18106178.60370484,38555,69.3450526943308,23.57185896272109,2.9034135911546133,4.17967475179351,6.237893576359483
2020T1,Q4,atipico,17741803.598987162,33925,79.43851019852777,12.57177453755902,2.558161094692017,5.431554169221224,2.070556237402433
2020T2,Q4,atipico,16773620.61793294,24716,82.35552668753841,11.188746974999527,2.0071586640258565,4.448567673436222,1.6390170070150472
2020T3,Q4,atipico,16893122.35478514,23662,85.29691042997932,11.164104286146156,1.3246847649834608,2.214300518891077,1.0864229682407687
2020T4,Q4,atipico,17610181.32096431,22024,83.99914632788658,11.339073179780499,2.3579454903517565,2.303835001981178,1.4281407370529275
2021T1,Q4,atipico,17482538.96149799,20944,84.30188219476376,12.046255411978361,1.751216302322565,1.900646090935318,1.211381961866126
2021T2,Q4,atipico,17973920.40716874,24347,84.15279580554673,12.891069224396992,1.60954780593089,1.3465871641253848,1.7114818310610833
2021T3,Q4,atipico,18008712.7170659,29409,83.48045796275076,13.5495465039371,1.2587924406569082,1.7112030926552426,1.6856110739316859
2021T4,Q4,pre,18522864.9932065,31640,65.9875231984283,26.305494365366325,2.9005067320561935,4.806475704149166,7.163125383665428
2022T1,Q4,pre,18124045.274166554,32188,67.76564089157928,26.401930712211552,2.090864600966036,3.7415637952431426,7.561601925123384
2022T2,Q4,pre,18634081.120065488,34071,69.03050604245765,25.47030545609688,1.9493730833699456,3.5498154180755344,7.7701199507487155
2022T3,Q4,excluido,18865741.79018842,35086,70.32681707876809,24.322873665515445,1.564695655918288,3.7856135997981726,7.459869030507083
2022T4,Q4,excluido,18542355.80789978,33911,69.48637681366618,23.87493691382716,2.15595043318843,4.482735839318231,7.82549274480343
2023T1,Q4,pos,18525111.28909693,32915,70.78200198613511,23.744092363929465,1.6146595377017277,3.859246112233682,7.251338857604742
2023T2,Q4,pos,18675737.8972014,33725,71.10664494383649,23.527863140199873,1.6648624103650083,3.700629505598646,7.902409763697134
2023T3,Q4,pos,19103400.77362148,35092,70.1046046975098,24.437789439000838,1.7443211810719428,3.7132846824174357,7.548171157333428
2023T4,Q4,pos,19787685.46692343,35050,67.96678361772194,25.556268550612206,2.164101069044323,4.3128467626215405,8.002998298624492
2024T1,Q4,pos,19406761.29361087,35128,68.47654877515212,26.52727765232246,1.5709460209791968,3.4252275515462336,7.809790920127373
2024T2,Q4,pos,19857965.891809344,35751,69.79643583345319,25.310960672937252,1.413920353976931,3.4786831396326314,8.23458537495293
2024T3,Q4,pos,19184903.66773524,35910,69.52352922688361,25.251166051114513,1.596643941283491,3.6286607807183775,7.450408833571626
2024T4,Q4,pos,19429268.01642352,35308,67.01685651626673,26.48611566417699,2.275444127696382,4.221583691859893,7.644311178629382
2025T1,Q4,pos,19645563.14008764,35633,68.48233642654401,26.45718172075801,1.4945025282085078,3.5659793244894726,8.450477964506312
2025T2,Q4,pos,20195680.95155516,36425,67.99390402357,26.763680126127333,1.293923526031093,3.9484923242715566,8.424178072728296
2025T3,Q4,pos,20477763.254956156,38649,69.0645708806357,25.811675043753134,1.3132186155990369,3.8105354600121526,8.16056067500084
