quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Todos,pos,6,G8,605061.62819925,1970,1.7401220360667347
Todos,pos,6,G9,3438849.98856764,12042,9.88993247124873
Todos,pos,7,Desocupado,2203861.69443952,4290,2.4350086712059813
Todos,pos,7,Fora da força de trabalho,5306416.8888753,12391,5.8629682479831375
Todos,pos,7,G0,21861.59089044,41,0.02415449368664543
Todos,pos,7,G1,691014.9480522,1265,0.7634904652526205
Todos,pos,7,G2,912154.77961805,1502,1.0078240406173935
Todos,pos,7,G3,3171614.88742171,5307,3.504262437195232
Todos,pos,7,G4,1008418.76487323,1693,1.1141844530754996
Todos,pos,7,G5,4218117.89445201,8086,4.660525510777069
Todos,pos,7,G6,655580.72560688,2239,0.7243398056946763
Todos,pos,7,G7,63224732.85821145,119979,69.85591388645622
Todos,pos,7,G8,4226120.41334605,7524,4.669367355502462
Todos,pos,7,G9,4867449.37397589,10214,5.377960632553059
Todos,pos,8,Desocupado,1259744.6505901199,2404,1.9335213924948096
Todos,pos,8,Fora da força de trabalho,2600844.25364673,5920,3.9919105833213444
Todos,pos,8,G0,28245.53979066,57,0.04335271866581944
Todos,pos,8,G1,355157.59738013,630,0.5451142911540502
Todos,pos,8,G2,356113.99259124,610,0.5465822161017723
Todos,pos,8,G3,1131881.09003215,1952,1.7372697715464065
Todos,pos,8,G4,946502.24379058,1597,1.4527407086476871
Todos,pos,8,G5,1944513.81335985,3628,2.9845406006460853
Todos,pos,8,G6,526041.85111683,1781,0.8073963021041604
Todos,pos,8,G7,4175364.00052271,7409,6.408565110938591
Todos,pos,8,G8,48486675.52038342,91614,74.41986304581575
Todos,pos,8,G9,3341783.9632737,6757,5.129143258563533
Todos,pos,9,Desocupado,4113980.19359488,8728,3.7994994684307115
Todos,pos,9,Fora da força de trabalho,10479543.16120717,28209,9.678466301902736
Todos,pos,9,G0,29386.45236489,51,0.02714009423606354
Todos,pos,9,G1,334269.20982691,661,0.3087170149791844
Todos,pos,9,G2,400291.74030932,775,0.36969265357436376
Todos,pos,9,G3,1105085.27929298,1966,1.0206103903420376
Todos,pos,9,G4,2016455.47100011,3677,1.862313654817167
Todos,pos,9,G5,6824150.49736268,14320,6.302499031859448
Todos,pos,9,G6,3426442.67152397,12128,3.16451866475506
Todos,pos,9,G7,5114755.19963656,10686,4.723773267656626
